actual_fra,actual_eng,predicted_eng
le froid ne me dérange pas,i dont mind the cold,please dont think me    
tu trouveras du travail,youll find a job,you are work     
fais un bisou à mamie,give grandma a kiss,make a      
donnemoi ta ceinture,give me your belt,give me your watch    
cest une fille mignonne,she is a pretty girl,shes a cute girl    
il sassit à côté delle,he sat next to her,he sat next to her   
ça a goût de moisi,this tastes moldy,this tastes moldy     
je possède une vieille voiture,i have an old car,i have a old car   
on vous a prévenu,youve been warned,youve have warned     
tom taime toujours,tom still loves you,tom they love you    
nous aimons tous les deux les fruits de mer,we both like seafood,are guys seventh     
nous sommes en train de payer,were paying,were paying      
tom restait silencieux,tom kept silent,tom kept quiet     
je te permettrai dy aller,ill permit you to go,ill allow you to go   
êtesvous toujours mariée ,are you still married,are you still married    
je suis disponible,im free,im available      
ne me le reproche pas,dont blame me,dont blame it on    
vous êtes égoïstes,youre egotistical,youre are      
cest super,its awesome,this is      
parlez à mon avocat,talk to my attorney,get to my lawyer    
ils sont vraiment moches,theyre really ugly,theyre really approaching     
tom sest remis à jouer,tom is gambling again,tom likes his     
je ne le dirai pas à tom,i wont tell tom,i wont tom     
jai confectionné cellelà,i made that one,i have this one    
combien de temps cela duretil ,how long is it,how long does it last   
je suis désolé de vous lavoir dit,im sorry i told you,im sorry i told you   
vous nêtes pas très ordonnées,youre not very tidy,youre not very     
donnezmoi cela je vous prie,give it to me please,please me  that    
jadore votre veste,i love your jacket,i love your jacket    
tom a donné sa démission,toms resigned,tom saw them     
abandonnez ,let it go,examine       
jai des brûlures destomac,i have heartburn,i have a     
ne soyez pas si paresseuses ,dont be so lazy,dont be so lazy    
quelquun ta vu,somebody saw you,somebody  saw     
ça ne suffit pas,its not enough,this isnt enough     
personne nest blessé,no ones injured,nobody is      
je naime pas conduire,i dont like to drive,i dont like driving    
jen ai assez supporté,ive had enough,i have enough     
cest horripilant,this is infuriating,this outdated      
nous avons besoin dhommes comme toi,we need men like you,we need men like you   
tom ne le croit pas,tom doesnt buy it,tom doesnt know     
essaye dêtre à lheure,try to be on time,try to  time    
jai la dalle,im very hungry,i am very     
je me sentis idiote,i felt like an idiot,i felt feel nauseous    
comment puisje vous remercier ,how do i thank you,how can i thank you   
cétait notre but,that was our goal,it was our gold    
tom kidnappa mary,tom kidnapped mary,tom challenged mary     
nous parlons tout le temps,we talk all the time,we all us time    
jai dit  pas maintenant,i said not now,i said now     
venez par tous les moyens,do come by all means,come all see this    
quiconque tatil vu ,did anybody see you,did anybody he you    
ce que jétais naïve ,boy was i naive,am i  naive    
je dois insister,i must insist,i have to     
êtesvous perdue ,are you lost,are you courageous     
elle la incité,she tempted him,she got him     
il nous faut parler,we must speak,we must to     
nous étions justement sur le point dy aller,we were just going,we were going go    
ce qui est à moi est à toi,whats mine is yours,shes is      
battezvous comme un homme,fight like a man,behave like a  man   
jai un œil au beurre noir,i have a black eye,im have a of lip   
je ne peux pas latteindre,i cant reach it,i cant exclude     
metsle sur le mur,put it on the wall,put it on the wall   
les jumeaux chantaient,the twins sang,the twins up     
tom perd,tom is losing,tom is for     
tom a bronché,tom flinched,tom has      
estce tellement mauvais ,is that so bad,is that so bad    
je le suppose,i assume so,i guess so     
je nai pas remarqué,i didnt notice,i dont noticed     
faitesmoi voir une autre montre,show me another watch,give me the watch    
ne ten mêle pas ,stay out of it,dont not me     
je nai jamais voulu cela,i never wanted that,i never wanted this    
cest très onéreux ,its very onerous,thats very      
jespère que je mintégrerai,i hope ill fit in,i hope      
il sapprocha delle,he moved close to her,he got about her    
jadore mentretenir avec toi,i love talking to you,i love talking to you   
je pense que cest un présent,i think it is a gift,i think tom its a dream  
atil échoué à nouveau ,has he failed again,his was again     
je lai entièrement vu,ive seen it all,i saw all everything    
tom commencera,tom will start,tom is      
cest choquant,this is appalling,thats is      
le déjeuner est servi,breakfast is served,breakfast is served     
elle pleurait,she cried,she was crying     
estce exact ,is that right,is that correct     
je ne peux pas marrêter de pleurer,i cant stop crying,i cant stop cry    
cest barbare ,thats barbaric,thats is      
allumez la télé,turn on the tv,turn on the tv    
il ny a plus de lait,there is no milk left,there is no left    
elle est en déplacement en ce moment,she is out now,she is traveling     
elle retira son manteau,she took off her coat,she took off his coat   
cest pourquoi nous sommes ici,thats why were here,thats why we here    
attrapez ça,catch this,grab that      
la prochaine fois je conduirai,next time ill drive,tell it you a lift   
cest un chouette endroit,this is a nice place,thats a good place    
ne coupe pas ce fil,dont cut that wire,dont off toms     
cest dangereux,thats dangerous,its dangerous      
je me suis sentie cocufiée,i felt cheated,i felt responsible     
puisje vous embrasser ,may i kiss you,can i kiss you    
cétait une journée ensoleillée,it was a sunny day,it was a sunny day   
sors les détritus,take the garbage out,take the garbage out    
je veux une piscine,i want a pool,i want a  map   
leau monte,the water is rising,the water went water    
lun dentre eux est un espion,one of them is a spy,one of them is  spy  
tu as tué ma mère,you killed my mother,you miss my mother    
estce que tu veux manger ,do you want to eat,do you want to eat   
vous aviez peutêtre raison,maybe you were right,maybe  were right    
menottezle,cuff him,lets reading      
et si je refuse ,what if i refuse,what  if i to   
le pire est déjà passé,the worst is over,the game is over    
peutêtre devraisje le faire,maybe i should do it,maybe i  do it   
tom a poursuivi sa lecture,tom continued reading,tom started his gun    
jai acheté un nouveau téléphone,i bought a new phone,i bought a new ring   
je pense que tom est réveillé,i think tom is awake,i think tom is    
il a une allergie aux chats,hes allergic to cats,he has a cats    
thomas est un gastronome,tom is a gourmet,tom is a farmer    
jen ai entendu parler,i heard about it,i heard      
jétais fatigué,i was tired,i was tired     
vous êtes cellelà,you are the one,you are the one    
montrezmoi tout,show me everything,let them all     
tuezle,kill it,bring it      
je veux un avocat,i want a lawyer,i want an attorney    
viens et parlemoi,come talk to me,come and talk     
ce nétait rien,that was nothing,it wasnt nothing     
je nettoierai,ill clean up,i will      
estce dangereux ,is it hazardous,is it dangerous     
tout le monde sen fiche,no one cares,everyone just know     
tom va souffrir,tom will suffer,tom is a     
je veux combattre,i want to fight,i want to     
tom consulta le menu,tom perused the menu,tom making the menu    
tom est debout,toms awake,tom is awake     
laissemoi dormir,let me sleep,let me sleep     
estce que cest un renard ,is that a fox,is it a fox    
cest exact,this is accurate,thats right      
étiezvous invités ,were you invited,were you sincere     
je peux tattendre,i can wait for you,i can it     
jai eu une prémonition,i had a premonition,i had a seizure    
sil vous plaît copiez ceci,please copy this,please go this     
ils vont séclater,theyll have a blast,theyre going      
tom devint nerveux,tom got nervous,tom became nervous     
tom ma induit en erreur,tom misled me,tom misled you     
je sais pouvoir le faire,i know i can do that,i know i can do it  
je bus leau,i drank the water,i drank the water    
il était invité,he was invited,he was invited     
nous sommes toutes folles,were all crazy,were all crazy     
questce que tu as regardé ,what did you watch,what did you     
elles me laissèrent partir,they let me go,they let me go    
jadore ça ,i love it,i love that     
je suis un garçon timide,i am a shy boy,im a shy     
jélève un chien,i keep a dog,i have a dog    
